	gene_id	case_transcript	control_transcript
5905	ARHGAP42	ENST00000298815.12	ENST00000524892.6
5906	ACADSB	ENST00000368869.8	ENST00000358776.6
5907	DGAT2	ENST00000376262.7	ENST00000228027.11
5929	USP13	ENST00000496897.5	ENST00000263966.7
5939	EPB41L4B	ENST00000374566.7	ENST00000374557.4
5977	LMO4	ENST00000370544.9	ENST00000370542.1
5978	PNPT1	ENST00000415374.5	ENST00000447944.6
6129	C20orf196	ENST00000378979.8	ENST00000303142.10
6169	KDSR	ENST00000326575.9	ENST00000406396.7
6192	NFX1	ENST00000379540.7	ENST00000318524.6
6232	WASF2	ENST00000536657.1	ENST00000618852.4
6317	CCDC3	ENST00000378839.1	ENST00000378825.4
6336	ESYT1	ENST00000267113.4	ENST00000394048.9
6337	FBXO33	ENST00000554190.1	ENST00000298097.7
6354	CLIC6	ENST00000360731.7	ENST00000349499.2
6360	STX8	ENST00000306357.8	ENST00000574431.5
6402	KHDRBS3	ENST00000520981.5	ENST00000355849.9
