	gene_id	case_transcript	control_transcript
932	VAMP2	ENST00000404970.3	ENST00000316509.10
938	CTNNAL1	ENST00000374595.8	ENST00000374593.4
943	MYCT1	ENST00000529453.1	ENST00000367245.5
944	EBF1	ENST00000380654.8	ENST00000517373.1
946	LIFR	ENST00000453190.6	ENST00000263409.8
947	MOCS1	ENST00000373195.7	ENST00000432280.2
962	PDGFD	ENST00000302251.9	ENST00000393158.6
963	SLC25A27	ENST00000411689.6	ENST00000371347.9
964	CFD	ENST00000592860.2	ENST00000327726.10
965	SORBS1	ENST00000371249.6	ENST00000306402.10
989	ANKRD35	ENST00000355594.8	ENST00000544626.2
1038	CIDEC	ENST00000423850.5	ENST00000336832.6
1059	HSPB6	ENST00000592984.5	ENST00000004982.4
1061	FLT1	ENST00000615840.4	ENST00000282397.8
1068	RAI2	ENST00000331511.5	ENST00000545871.1
1075	DNASE1L3	ENST00000483681.5	ENST00000394549.6
1077	CXCL12	ENST00000374429.6	ENST00000343575.10
1098	RERE	ENST00000337907.7	ENST00000377464.5
1108	BEND7	ENST00000341083.7	ENST00000378605.3
1109	AMOTL2	ENST00000513145.1	ENST00000514516.5
1116	PLP1	ENST00000612423.4	ENST00000619236.1
1118	ETS2	ENST00000360214.7	ENST00000360938.7
1119	SSPN	ENST00000535504.1	ENST00000422622.3
1122	FBLN5	ENST00000342058.8	ENST00000267620.14
1171	IGFBP6	ENST00000548547.5	ENST00000301464.3
1172	MYZAP	ENST00000380565.8	ENST00000267853.9
1173	ABHD14B	ENST00000395008.6	ENST00000361143.9
1178	AC074289.1	ENST00000438115.6	ENST00000451350.1
1179	SYNE3	ENST00000553340.1	ENST00000557275.5
1195	LYVE1	ENST00000529598.1	ENST00000256178.7
1206	AOC3	ENST00000591562.1	ENST00000613571.1
1208	RHOJ	ENST00000555125.1	ENST00000316754.7
1209	BICD2	ENST00000356884.10	ENST00000375512.3
1210	TGFBR3	ENST00000370399.6	ENST00000212355.8
1213	CSTA	ENST00000479204.1	ENST00000264474.3
1214	MID1	ENST00000380780.5	ENST00000380787.5
1242	AKR1C3	ENST00000380554.4	ENST00000439082.6
