gene_id	control_transcipt	case_transcript
RAP1A	ENST00000494982.1	ENST00000356415.5
RAP1A	ENST00000433097.5	ENST00000356415.5
PPP1R15A	ENST00000600406.1	ENST00000200453.5
HNRNPA3	ENST00000411529.6	ENST00000432457.2
HNRNPA3	ENST00000411529.6	ENST00000483137.1
HNRNPA3	ENST00000392524.6	ENST00000483137.1
HNRNPA3	ENST00000435711.5	ENST00000483137.1
MCL1	ENST00000307940.3	ENST00000369026.2
MCL1	ENST00000307940.3	ENST00000620947.4
CREG1	ENST00000466652.1	ENST00000370509.4
RPS23	ENST00000510210.5	ENST00000512493.5
RPS23	ENST00000510210.5	ENST00000507980.1
RPS23	ENST00000510210.5	ENST00000504293.5
RPS23	ENST00000510210.5	ENST00000503605.1
RPS23	ENST00000510210.5	ENST00000296674.12
CISD3	ENST00000613478.1	ENST00000619858.1
CISD3	ENST00000616128.1	ENST00000619858.1
GAPDH	ENST00000396856.5	ENST00000466588.5
GAPDH	ENST00000229239.9	ENST00000466588.5
GAPDH	ENST00000492719.5	ENST00000466588.5
GAPDH	ENST00000619601.1	ENST00000466588.5
GAPDH	ENST00000396859.5	ENST00000466588.5
ZNF579	ENST00000592239.1	ENST00000325421.6
SRD5A3	ENST00000264228.8	ENST00000514398.1
SRD5A3	ENST00000505210.1	ENST00000514398.1
COX6A1	ENST00000549525.1	ENST00000229379.2
COX6A1	ENST00000550009.1	ENST00000229379.2
FAM210B	ENST00000437418.1	ENST00000371384.3
COX7A2	ENST00000481061.2	ENST00000377978.3
COX7A2	ENST00000460985.1	ENST00000370081.6
COX7A2	ENST00000460985.1	ENST00000377978.3
COX7A2	ENST00000460985.1	ENST00000472311.6
COX7A2	ENST00000459637.2	ENST00000377978.3
COX7A2	ENST00000509698.5	ENST00000377978.3
COX7A2	ENST00000370089.6	ENST00000377978.3
PTPMT1	ENST00000326674.9	ENST00000426530.2
PTPMT1	ENST00000527079.2	ENST00000426530.2
PTPMT1	ENST00000326656.12	ENST00000426530.2
COQ4	ENST00000372875.3	ENST00000608951.5
COQ4	ENST00000372875.3	ENST00000609948.1
COQ4	ENST00000461102.1	ENST00000608951.5
COQ4	ENST00000461102.1	ENST00000609948.1
COQ4	ENST00000300452.7	ENST00000608951.5
COQ4	ENST00000300452.7	ENST00000609948.1
CD2BP2	ENST00000564525.1	ENST00000569466.1
CD2BP2	ENST00000564525.1	ENST00000305596.7
DPM3	ENST00000341298.3	ENST00000368399.1
DPM3	ENST00000368400.4	ENST00000368399.1
NDUFB10	ENST00000268668.10	ENST00000569148.1
NDUFB10	ENST00000268668.10	ENST00000565031.1
PRDX5	ENST00000265462.8	ENST00000352435.8
PRDX5	ENST00000265462.8	ENST00000347941.4
DNAJC21	ENST00000342382.8	ENST00000506762.1
