GeneId	Control_transcript	Case_transcript
SLC20A2	ENST00000342228.7	ENST00000522707.1
SLC20A2	ENST00000342228.7	ENST00000518660.5
SLC20A2	ENST00000342228.7	ENST00000518384.1
CARS2	ENST00000257347.8	ENST00000542774.5
CARS2	ENST00000257347.8	ENST00000543487.5
CARS2	ENST00000257347.8	ENST00000535615.5
CARS2	ENST00000257347.8	ENST00000537802.5
CARS2	ENST00000257347.8	ENST00000480437.5
CARS2	ENST00000257347.8	ENST00000485188.1
CARS2	ENST00000257347.8	ENST00000541362.5
CARS2	ENST00000257347.8	ENST00000537743.1
CARS2	ENST00000257347.8	ENST00000535516.5
CARS2	ENST00000257347.8	ENST00000481787.6
CARS2	ENST00000257347.8	ENST00000540215.1
CARS2	ENST00000257347.8	ENST00000544488.5
CARS2	ENST00000257347.8	ENST00000537386.1
CARS2	ENST00000257347.8	ENST00000541443.5
CARS2	ENST00000257347.8	ENST00000545506.5
CARS2	ENST00000257347.8	ENST00000539405.1
CARS2	ENST00000257347.8	ENST00000537394.5
CARS2	ENST00000257347.8	ENST00000465145.5
CARS2	ENST00000257347.8	ENST00000542709.5
CARS2	ENST00000257347.8	ENST00000537404.1
CARS2	ENST00000257347.8	ENST00000540006.5
CARS2	ENST00000257347.8	ENST00000487253.6
CARS2	ENST00000257347.8	ENST00000540785.1
CARS2	ENST00000257347.8	ENST00000375781.9
CARS2	ENST00000257347.8	ENST00000541239.5
SLC8B1	ENST00000549181.5	ENST00000552565.5
SLC8B1	ENST00000548186.5	ENST00000552565.5
SLC8B1	ENST00000552613.1	ENST00000552565.5
SLC8B1	ENST00000546737.5	ENST00000552565.5
SLC8B1	ENST00000552014.5	ENST00000553238.5
SLC8B1	ENST00000552014.5	ENST00000552565.5
SLC8B1	ENST00000552014.5	ENST00000549372.1
SLC8B1	ENST00000552014.5	ENST00000549069.5
SLC8B1	ENST00000552014.5	ENST00000550047.5
SLC8B1	ENST00000552014.5	ENST00000551230.1
SLC8B1	ENST00000552014.5	ENST00000202831.7
SLC8B1	ENST00000552014.5	ENST00000550672.5
SLC8B1	ENST00000552014.5	ENST00000548518.1
SLC8B1	ENST00000549605.5	ENST00000552565.5
SLC8B1	ENST00000548477.5	ENST00000552565.5
METTL25	ENST00000248306.7	ENST00000548432.5
METTL25	ENST00000248306.7	ENST00000551722.1
METTL25	ENST00000248306.7	ENST00000551645.1
METTL25	ENST00000248306.7	ENST00000547357.5
METTL25	ENST00000248306.7	ENST00000552741.5
METTL25	ENST00000248306.7	ENST00000550298.1
HPS3	ENST00000460120.5	ENST00000462030.5
HPS3	ENST00000460120.5	ENST00000478525.1
HPS3	ENST00000460120.5	ENST00000460822.1
HPS3	ENST00000460120.5	ENST00000296051.6
NAT9	ENST00000580301.5	ENST00000578798.5
NAT9	ENST00000580301.5	ENST00000582168.5
NAT9	ENST00000580301.5	ENST00000583989.5
NAT9	ENST00000580301.5	ENST00000584022.5
NAT9	ENST00000580301.5	ENST00000583834.5
NAT9	ENST00000580301.5	ENST00000580216.5
NAT9	ENST00000580301.5	ENST00000581762.1
NAT9	ENST00000580301.5	ENST00000579837.1
NAT9	ENST00000580301.5	ENST00000582118.1
NAT9	ENST00000580301.5	ENST00000581466.1
NAT9	ENST00000580301.5	ENST00000578862.5
NAT9	ENST00000580301.5	ENST00000580632.5
NAT9	ENST00000580301.5	ENST00000582359.5
NAT9	ENST00000580301.5	ENST00000585240.5
NAT9	ENST00000580301.5	ENST00000582870.5
NAT9	ENST00000580301.5	ENST00000584409.5
NAT9	ENST00000580301.5	ENST00000582993.5
NAT9	ENST00000580301.5	ENST00000583689.5
NAT9	ENST00000580301.5	ENST00000581451.1
DAGLB	ENST00000297056.10	ENST00000482149.5
DAGLB	ENST00000297056.10	ENST00000425398.6
DAGLB	ENST00000297056.10	ENST00000497308.1
DAGLB	ENST00000297056.10	ENST00000454738.5
DAGLB	ENST00000297056.10	ENST00000462934.5
DAGLB	ENST00000297056.10	ENST00000479922.6
DAGLB	ENST00000297056.10	ENST00000436575.5
DAGLB	ENST00000297056.10	ENST00000483716.1
CDC42SE1	ENST00000492796.5	ENST00000483763.5
CDC42SE1	ENST00000492796.5	ENST00000491825.1
CDC42SE1	ENST00000492796.5	ENST00000357235.5
CDC42SE1	ENST00000492796.5	ENST00000540998.5
STRADA	ENST00000375840.8	ENST00000583085.1
STRADA	ENST00000375840.8	ENST00000580039.5
STRADA	ENST00000375840.8	ENST00000579318.1
STRADA	ENST00000375840.8	ENST00000581505.5
STRADA	ENST00000375840.8	ENST00000578801.5
STRADA	ENST00000375840.8	ENST00000581243.5
STRADA	ENST00000375840.8	ENST00000580288.1
STRADA	ENST00000375840.8	ENST00000578507.1
STRADA	ENST00000375840.8	ENST00000577375.5
STRADA	ENST00000375840.8	ENST00000579549.5
STRADA	ENST00000375840.8	ENST00000579350.1
STRADA	ENST00000375840.8	ENST00000392950.8
STRADA	ENST00000375840.8	ENST00000582026.1
STRADA	ENST00000375840.8	ENST00000617949.4
SNHG11	ENST00000432153.5	ENST00000444816.1
SNHG11	ENST00000432153.5	ENST00000437028.5
SNHG11	ENST00000432153.5	ENST00000420006.5
SNHG11	ENST00000432153.5	ENST00000442419.1
SNHG11	ENST00000432153.5	ENST00000400436.6
SNHG11	ENST00000432153.5	ENST00000434729.5
SNHG11	ENST00000432153.5	ENST00000453698.5
SNHG11	ENST00000432153.5	ENST00000457218.5
SNHG11	ENST00000432153.5	ENST00000483342.5
HRAS	ENST00000311189.7	ENST00000478324.5
HRAS	ENST00000311189.7	ENST00000451590.5
HRAS	ENST00000311189.7	ENST00000479482.1
HRAS	ENST00000311189.7	ENST00000462734.1
HRAS	ENST00000311189.7	ENST00000397594.5
HRAS	ENST00000311189.7	ENST00000482021.1
HRAS	ENST00000311189.7	ENST00000493230.5
XPO6	ENST00000566073.1	ENST00000568065.5
XPO6	ENST00000304658.9	ENST00000563138.5
XPO6	ENST00000304658.9	ENST00000567038.1
XPO6	ENST00000304658.9	ENST00000570007.1
XPO6	ENST00000304658.9	ENST00000568065.5
XPO6	ENST00000304658.9	ENST00000561488.1
XPO6	ENST00000304658.9	ENST00000565284.5
XPO6	ENST00000304658.9	ENST00000570294.5
XPO6	ENST00000304658.9	ENST00000564905.1
XPO6	ENST00000304658.9	ENST00000562408.1
XPO6	ENST00000304658.9	ENST00000569973.1
XPO6	ENST00000304658.9	ENST00000574435.1
XPO6	ENST00000304658.9	ENST00000573275.1
XPO6	ENST00000304658.9	ENST00000573645.1
XPO6	ENST00000304658.9	ENST00000569315.1
XPO6	ENST00000564337.5	ENST00000568065.5
XPO6	ENST00000567842.5	ENST00000568065.5
XPO6	ENST00000569951.1	ENST00000568065.5
XPO6	ENST00000569216.2	ENST00000568065.5
XPO6	ENST00000566175.1	ENST00000568065.5
XPO6	ENST00000570033.1	ENST00000568065.5
XPO6	ENST00000565698.5	ENST00000563138.5
XPO6	ENST00000565698.5	ENST00000567038.1
XPO6	ENST00000565698.5	ENST00000570007.1
XPO6	ENST00000565698.5	ENST00000568065.5
XPO6	ENST00000565698.5	ENST00000561488.1
XPO6	ENST00000565698.5	ENST00000565284.5
XPO6	ENST00000565698.5	ENST00000570294.5
XPO6	ENST00000565698.5	ENST00000564905.1
XPO6	ENST00000565698.5	ENST00000562408.1
XPO6	ENST00000565698.5	ENST00000569973.1
XPO6	ENST00000565698.5	ENST00000574435.1
XPO6	ENST00000565698.5	ENST00000573275.1
XPO6	ENST00000565698.5	ENST00000573645.1
XPO6	ENST00000565698.5	ENST00000569315.1
YIF1A	ENST00000376901.8	ENST00000484814.1
YIF1A	ENST00000376901.8	ENST00000526497.5
YIF1A	ENST00000376901.8	ENST00000376899.8
YIF1A	ENST00000376901.8	ENST00000485820.1
YIF1A	ENST00000376901.8	ENST00000474986.2
YIF1A	ENST00000376901.8	ENST00000359461.10
YIF1A	ENST00000376901.8	ENST00000494836.2
YIF1A	ENST00000376901.8	ENST00000534374.1
YIF1A	ENST00000376901.8	ENST00000496746.5
YIF1A	ENST00000376901.8	ENST00000471387.6
AP4E1	ENST00000558439.5	ENST00000560508.1
AP4E1	ENST00000561397.1	ENST00000560508.1
AP4E1	ENST00000261842.9	ENST00000561441.5
AP4E1	ENST00000261842.9	ENST00000561393.5
AP4E1	ENST00000261842.9	ENST00000561004.1
AP4E1	ENST00000261842.9	ENST00000560508.1
SPG11	ENST00000261866.11	ENST00000558319.5
SPG11	ENST00000261866.11	ENST00000560299.1
SPG11	ENST00000261866.11	ENST00000558561.1
SPG11	ENST00000261866.11	ENST00000559933.1
SPG11	ENST00000261866.11	ENST00000558989.1
SPG11	ENST00000261866.11	ENST00000559347.1
SPG11	ENST00000261866.11	ENST00000558093.1
SPG11	ENST00000261866.11	ENST00000558080.1
SPG11	ENST00000261866.11	ENST00000558790.5
SPG11	ENST00000261866.11	ENST00000558988.5
SPG11	ENST00000261866.11	ENST00000559754.1
SPG11	ENST00000261866.11	ENST00000561391.1
SPG11	ENST00000261866.11	ENST00000558155.1
SPG11	ENST00000261866.11	ENST00000561268.5
SPG11	ENST00000261866.11	ENST00000557866.1
SPG11	ENST00000261866.11	ENST00000558138.1
SPG11	ENST00000261866.11	ENST00000559822.1
SPG11	ENST00000261866.11	ENST00000560858.1
SPG11	ENST00000261866.11	ENST00000560435.1
SPG11	ENST00000261866.11	ENST00000559511.5
SPG11	ENST00000261866.11	ENST00000558253.5
JADE1	ENST00000503785.5	ENST00000452328.6
JADE1	ENST00000511647.5	ENST00000452328.6
JADE1	ENST00000504089.5	ENST00000452328.6
JADE1	ENST00000512960.5	ENST00000452328.6
JADE1	ENST00000610919.4	ENST00000452328.6
GEMIN4	ENST00000437269.1	ENST00000576778.1
GEMIN4	ENST00000570364.5	ENST00000576778.1
GEMIN4	ENST00000319004.5	ENST00000574958.1
GEMIN4	ENST00000319004.5	ENST00000576778.1
GEMIN4	ENST00000319004.5	ENST00000573482.5
GEMIN4	ENST00000576383.1	ENST00000576778.1
COX19	ENST00000457254.5	ENST00000344111.3
COX19	ENST00000457254.5	ENST00000466146.1
COX19	ENST00000457254.5	ENST00000466853.1
CRTC2	ENST00000368633.1	ENST00000368630.7
CRTC2	ENST00000368633.1	ENST00000524997.1
CRTC2	ENST00000368633.1	ENST00000467860.1
CRTC2	ENST00000368633.1	ENST00000493909.1
CRTC2	ENST00000368633.1	ENST00000487235.5
CRTC2	ENST00000368633.1	ENST00000492073.1
CRTC2	ENST00000368633.1	ENST00000303569.10
CYB561A3	ENST00000545361.5	ENST00000536452.1
CYB561A3	ENST00000294072.8	ENST00000536452.1
CYB561A3	ENST00000542361.5	ENST00000536452.1
CYB561A3	ENST00000536687.1	ENST00000536452.1
CYB561A3	ENST00000538263.5	ENST00000536452.1
CYB561A3	ENST00000535152.1	ENST00000536452.1
CYB561A3	ENST00000537680.5	ENST00000536452.1
